Date/Time,ESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),ESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep) 
 01/01  04:30:00,-4.1224670047784,48.592303297832817,-4.636141306491936,48.436826501702629,-2.462654090207252,51.19566203490126,-1.7845434464863957,52.077537691752699,22.963126700539534,0.0,-11.68745753750909,57.78669863921505 
 01/01  04:40:00,-4.094932237876037,47.38654334092803,-4.599679031647156,47.046483449195878,-2.519423851497322,49.65814060894968,-1.8687988543920256,50.491634840848067,23.084868256753454,0.0,-11.703908545153127,56.209094118111128 
 01/01  04:50:00,-4.06630119241845,46.21279916206731,-4.561697415624394,45.70566850203295,-2.569241990406681,48.17716957891025,-1.9449124150844455,48.965141603112218,23.182593304954936,0.0,-11.711029975510428,54.68563458084054 
 01/01  05:00:00,-4.036951094481537,45.06810581254672,-4.521812006161554,44.40933611563423,-2.612282111285822,46.74775421584741,-2.013071538472559,47.49284540624103,23.256332337924733,0.0,-11.70967109260937,53.21153032644611 
 01/01  05:10:00,-4.0071259517453658,44.448541124551187,-4.479866780147404,43.8639501705004,-2.648827453341255,46.1220753880134,-2.073588470172126,46.841245430108077,23.30659564864095,0.0,-11.700605008977164,52.740143051154749 
 01/01  05:20:00,-3.976941797388008,43.820762330465189,-4.436065366149023,43.22065940994116,-2.6794878749558395,45.478813026588799,-2.1271245105031086,46.172427616847247,23.334844035031894,0.0,-11.685112745667084,52.23788351220492 
 01/01  05:30:00,-3.9464202377780568,43.192856454828419,-4.390908635217329,42.62070905035034,-2.705268412116766,44.8305697157341,-2.174759927933792,45.49927146700088,23.34360013977266,0.0,-11.665203838296748,51.72162824091947 
 01/01  05:40:00,-3.9154632037073044,42.56814435207548,-4.344740370161617,42.02086938141633,-2.7270525535477647,44.18249803346316,-2.217457783533746,44.82701379482546,23.33559432862512,0.0,-11.642617439573087,51.19842565049339 
 01/01  05:50:00,-3.8838437574661386,41.948564164866869,-4.297697336282681,41.424060603765159,-2.74537166119444,43.537605151233268,-2.2558216647105384,44.15869785617747,23.313321934424267,0.0,-11.618398210425085,50.67245838276676 
 01/01  06:00:00,-3.8513305863966709,41.33532142262629,-4.2498188318527359,40.83198751410691,-2.7605292402283796,42.897767374929347,-2.290215556507519,43.496211387611769,23.278836092201347,0.0,-11.593111437596236,50.14639371704493 
 01/01  06:10:00,-3.8177810108002179,40.49300650763303,-4.201144146643628,40.01233871299928,-2.77274008885729,41.934003783377878,-2.320902806423419,42.505721406559818,23.23368234878012,0.0,-11.567077443978406,49.053277552826788 
 01/01  06:20:00,-3.7831409687976249,39.67836193115818,-4.1517445625349869,39.32062793035584,-2.7820772142840726,41.00744337160859,-2.34799177527384,41.553842880147389,23.178720989655177,0.0,-11.540055048357999,48.00887992577941 
 01/01  06:30:00,-3.7474073690791558,38.88697304787024,-4.101814359036325,38.49468895585551,-2.7884399148199465,40.111727944831049,-2.3714049399209218,40.63405938753726,23.114150339329627,0.0,-11.511125458121115,47.00233217787263 
 01/01  06:40:00,-3.7106589388295108,38.11667084581745,-4.051581715774091,37.695352120181727,-2.791775349523732,39.24371917867393,-2.391107910778601,39.7431401506949,23.03993521346183,0.0,-11.479436666374113,46.02851822942762 
 01/01  06:50:00,-3.6730806308171397,37.365960919166358,-4.001104587509417,36.91922350912637,-2.7921916385137139,38.40125101272861,-2.407226996537929,38.87884524082483,22.95602023532365,0.0,-11.4445506533566,45.0840629329075 
 01/01  07:00:00,-3.6348784382485066,36.63370964363503,-3.950377767004511,36.1644115311276,-2.7898786640630535,37.58267839077212,-2.4199718971196946,38.039466445784459,22.86246495438877,0.0,-11.40633125228328,44.166514448706497 
 01/01  07:10:00,-3.594648575519841,3.4816588019209577,-3.899659580670459,27.211876701329176,-2.7853020824488796,28.592847416628957,-2.4289843833118995,17.71330886737951,22.75861878524188,0.0,-11.36433638942708,26.77792928618146 
 01/01  07:20:00,-3.527386574507318,8.056867898545989,-3.8530788939237938,23.848868825310775,-2.7828910808002549,25.19287128388396,-2.425190776554018,17.766723841136128,22.63051067955871,0.0,-11.311061328451615,22.356722242894877 
 01/01  07:30:00,-3.4056009078999525,11.011558923066787,-3.8143577480991555,20.405523894151885,-2.786680069336171,21.91555267036938,-2.397900043395566,17.335156261274507,22.45665176446755,0.0,-11.232969084908973,17.90277336339591 
 01/01  07:40:00,-3.2435907011099518,-30.525815466261066,-3.780453323374104,14.157429243486604,-2.7939460779371076,15.70710916781536,-2.3517145648893349,-6.936340065999502,22.229587073705944,0.0,-11.123749260850446,4.6262317512403119 
 01/01  07:50:00,-3.0304739767241246,-71.54435448493291,-3.756919377816075,7.517754233292862,-2.8107233496441497,9.107969776400978,-2.282639964824284,-32.750491243023137,21.936570708391629,0.0,-10.985163062422999,-10.073392050133635 
 01/01  08:00:00,-2.6957760368495657,-99.44897670951764,-3.763995951433344,1.5976618707329636,-2.8576152808625467,3.2280293696496757,-2.162596518138116,-52.50803459332633,21.548264836840418,0.0,-10.821072340505453,-26.142438927191735 
 01/01  08:10:00,-2.17601757315947,-138.2803907743462,-3.8228897135581976,-6.512344089102953,-2.9559328498203287,-4.98264490750671,-1.9633105423895359,-81.26759737275552,21.034177725388873,0.0,-10.63093274513858,-43.53668810581462 
 01/01  08:20:00,-1.4387589987366028,-163.19010374803953,-3.950751067078727,-13.400459939739449,-3.1226929890631256,-11.961507271738356,-1.6647369160375548,-102.85668691433762,20.36567483447061,0.0,-10.41115255761133,-62.21207534763789 
 01/01  08:30:00,-0.4895751114563609,-186.16069431278539,-4.160016528750475,-20.27489013032482,-3.3694908411728194,-18.917071488835746,-1.2586055266222048,-124.66611070557224,19.527375945232053,0.0,-10.159954316352242,-82.07084612294466 
 01/01  08:40:00,0.6432925467747737,-188.39546505413387,-4.455488627905652,-24.828998473315097,-3.7010960940790484,-23.55277456867043,-0.7405382590325189,-133.5549719347921,18.505012389008017,0.0,-9.86208039822941,-93.37322756123217 
 01/01  08:50:00,1.8314837482287203,-190.92861718581094,-4.832381040052496,-29.32859797286983,-4.112441474324669,-28.12945671561738,-0.12809934787810563,-143.06041873036976,17.310106303205886,0.0,-9.505017261403737,-105.14226435233582 
 01/01  09:00:00,3.315198823411947,-193.22709813411894,-5.265073953294177,-33.74793925467566,-4.578150190648785,-32.62144027575073,0.5465188051132373,-152.8898631072982,15.983469268152021,0.0,-9.067332169214297,-117.19847911364673 
 01/01  09:10:00,4.928527983011918,-193.81233785494238,-5.7531600577419799,-37.76538235686553,-5.097231250667164,-36.93168240259274,1.263921745518246,-161.38297566236452,14.529859778620449,0.0,-8.564220320788764,-129.35221374906974 
 01/01  09:20:00,6.594202851618093,-193.78597181118699,-6.290897752095589,-42.043555195527918,-5.663508648028483,-41.21217203709284,2.1739788944080375,-169.87729489168988,12.963845722912538,0.0,-7.999208829355666,-141.400655370923 
 01/01  09:30:00,8.25649997989899,-204.60793258736318,-6.878986894312675,-47.34579965448734,-6.277326905121754,-46.522687686415569,3.1461500334603444,-188.8215678748138,11.293986381833748,0.0,-7.37821091000842,-153.2697481153898 
 01/01  09:40:00,9.891507362400717,-200.1767101871735,-7.510415436946914,-51.18480934907825,-6.932221800569323,-50.37332109037038,4.186759718818394,-199.69863676224896,9.540292934347236,0.0,-6.696846283692594,-163.54106383764384 
 01/01  09:50:00,11.489793699691518,-195.363372750787,-8.177444594366989,-54.95661186809775,-7.621164078142101,-54.159161668609389,5.310967010311742,-206.65799851379917,7.7224754282933649,0.0,-5.952844716290656,-173.4852188292739 
 01/01  10:00:00,13.026104583741699,-189.96401939436056,-8.872426443749874,-58.6412688828093,-8.336952915860593,-57.859596816625529,6.523352284503289,-213.56445926837274,5.859485777184545,0.0,-5.146434752429286,-183.03820532854889 
 01/01  10:10:00,14.46873984260219,-184.7460318376775,-9.588977108572863,-61.90746337280484,-9.073447445359534,-61.15752575976353,7.814583705871655,-213.5993591386491,3.9691656970346687,0.0,-4.27968401819362,-192.71583651766697 
 01/01  10:20:00,15.792640097731465,-178.7778975876763,-10.320629440251878,-65.05642971042517,-9.824327799415869,-64.33682670950452,9.166015159387826,-220.99419828253077,2.07125586412576,0.0,-3.354017986183635,-202.09261978426276 
 01/01  10:30:00,16.98109428576049,-172.05865440194612,-11.061329263656717,-68.56435826264715,-10.583661388704286,-67.39341956955764,10.559288834198242,-228.02915381331332,0.18890103040280338,0.0,-2.371612996311569,-211.13616045826439 
 01/01  10:40:00,18.019330907975019,-157.37092066766719,-11.807123767817075,-71.15435221699932,-11.34814669790353,-70.07557578776209,11.988623911602872,-224.78737835104813,-1.6462485988718073,0.0,-1.3421775884614818,-211.07487604132462 
 01/01  10:50:00,18.884607070219773,-143.50042640967014,-12.5543206698203,-73.56803529567242,-12.114847215156488,-72.56829803559345,13.44254868017697,-221.72449340749155,-3.3440646828753417,0.0,-0.2978515677784799,-210.7533741133193 
 01/01  11:00:00,19.54350316854675,-122.494689767218,-13.300845660856112,-75.81123683514716,-12.881542644202682,-74.88244974868712,14.891773142645207,-218.64599302976695,-5.062525518495477,0.0,0.6051239258495116,-210.03074250811825 
 01/01  11:10:00,20.02193544233819,-112.65416254426146,-13.989942021345314,-78.05753836792519,-13.59140102162496,-77.09123441165889,16.36516475156327,-203.76386916622233,-6.782932468978743,0.0,1.8462095757824955,-208.96650875069919 
 01/01  11:20:00,20.30446088865483,-101.12435945299149,-14.608163151067174,-79.84971633813325,-14.230601612955298,-78.84708148947084,17.835892349471579,-200.82893291995334,-8.47396244819447,0.0,3.105553215863438,-207.44130992781767 
 01/01  11:30:00,20.38668541301854,-90.08800890884914,-15.155943753365364,-81.5063822665793,-14.799437767987229,-80.4643261785136,19.262426535517535,-197.58004651990678,-10.12109612080053,0.0,4.4023105190772189,-205.48992211542146 
 01/01  11:40:00,20.274759444099574,-80.4140017085233,-15.635950393382473,-80.4831305916507,-15.300624871231776,-79.44472079877869,20.629729938177208,-201.57716279652369,-11.71737650586465,0.0,5.725825273475039,-208.43147744833869 
 01/01  11:50:00,19.981399217868558,-71.88841710479665,-16.05287799162693,-78.62878776410889,-15.738900829160912,-77.62068181996256,21.95102026916902,-216.35897171085527,-13.258585806215024,0.0,7.0712016142874749,-210.92015395958289 
 01/01  12:00:00,19.51862650721796,-59.98716520059634,-16.421159528236787,-77.15071052442727,-16.1285395179234,-76.83269999255185,23.267590127992663,-219.127683140503,-14.745731544561977,0.0,8.440074576431016,-213.01283907319385 
 01/01  12:10:00,18.891722766266413,-46.714842074691208,-16.758966772766145,-75.88255733121764,-16.486632504358796,-75.5519777695065,24.623462872861638,-220.24461027931239,-16.182353924661358,0.0,9.834324692212704,-212.78680806086187 
 01/01  12:20:00,18.098564857129078,-32.952029147341367,-17.0779254508991,-75.40084732927835,-16.823493114323584,-74.33168461347577,26.034400337219723,-221.13098787021864,-17.568743110754668,0.0,11.254798135284318,-212.23165483244203 
 01/01  12:30:00,17.134705175254568,-19.56328137413084,-17.38143153203464,-74.19407425538407,-17.143419099118775,-73.1498053176847,27.498854279502667,-221.73608204503945,-18.902218083705294,0.0,12.699300089363078,-211.26861315241104 
 01/01  12:40:00,15.99916139944935,-18.549526048290319,-17.668247395666186,-72.23825764526396,-17.445821905753748,-86.22702620515952,29.011464428879664,-221.45793096644003,-20.179193036456355,0.0,14.164041424121024,-208.74540864514894 
 01/01  12:50:00,14.70802355422893,-19.58738199474101,-17.941740412318269,-70.31938734371875,-17.713050255977579,-100.72695003907688,30.56219995210131,-220.86872643217158,-21.4003715447825,0.0,15.63916434821931,-205.82920254913553 
 01/01  13:00:00,13.299065505122599,-20.195832040308234,-18.214178429351024,-68.40923296163669,-17.90526334931087,-115.03383041312464,32.13274129426645,-219.94805732129863,-22.57409422391538,0.0,17.105379578169506,-202.4463766593899 
 01/01  13:10:00,11.812335397974494,-21.323308157278917,-18.50085211836631,-67.15264343048102,-17.98149776108494,-130.63787355416094,33.70166434868361,-223.1849697365701,-23.71169236028254,0.0,18.540639647299487,-199.5628796312385 
 01/01  13:20:00,10.27756866036134,-21.177361047106844,-18.81602025033635,-64.84956903283092,-17.91104932169901,-144.7960978495655,35.25342769146209,-222.56541629386858,-24.8249587417381,0.0,19.92458248520734,-196.04761596673098 
 01/01  13:30:00,8.714030190532413,-20.86536345170998,-19.171401981473765,-62.54826381846942,-17.67351261398767,-158.96734501778929,36.77921861836148,-221.53765924697928,-25.923995418615279,0.0,21.240898286217545,-191.8935948348103 
 01/01  13:40:00,7.134856339822363,-20.999846672007153,-19.57482341671357,-60.82793760111963,-17.256417370487044,-167.11923232617483,38.26794452987497,-205.1563483561854,-27.01410271108466,0.0,22.477165151794453,-173.90376225347519 
